Sex,Rank,Beads
Male,High,Yes
Male,High,Yes
Male,High,Yes
Male,High,Yes
Male,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Female,High,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Male,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Female,Low,Yes
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Male,High,No
Female,High,No
Female,High,No
Female,High,No
Female,High,No
Female,High,No
Female,High,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Male,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
Female,Low,No
